1,-1,0,0,118,78,-1,1,-1,-1
1,-1,112,270,65,50,-1,1,-1,-1
1,-1,1,206,78,99,-1,1,-1,-1
1,-1,244,185,147,91,-1,1,-1,-1
2,-1,0,0,118,79,-1,1,-1,-1
2,-1,112,270,65,50,-1,1,-1,-1
2,-1,1,206,78,99,-1,1,-1,-1
2,-1,244,185,147,91,-1,1,-1,-1
3,-1,0,0,118,79,-1,1,-1,-1
3,-1,112,270,66,50,-1,1,-1,-1
3,-1,1,206,78,99,-1,1,-1,-1
3,-1,244,185,147,91,-1,1,-1,-1
4,-1,0,0,118,79,-1,1,-1,-1
4,-1,112,270,66,50,-1,1,-1,-1
4,-1,1,206,78,100,-1,1,-1,-1
4,-1,244,185,147,91,-1,1,-1,-1
5,-1,0,0,118,79,-1,1,-1,-1
5,-1,112,270,66,50,-1,1,-1,-1
5,-1,1,206,79,100,-1,1,-1,-1
5,-1,244,185,147,91,-1,1,-1,-1
6,-1,0,0,118,79,-1,1,-1,-1
6,-1,112,270,66,50,-1,1,-1,-1
6,-1,1,205,79,100,-1,1,-1,-1
6,-1,244,185,147,91,-1,1,-1,-1
7,-1,0,0,118,79,-1,1,-1,-1
7,-1,112,270,66,50,-1,1,-1,-1
7,-1,1,205,79,100,-1,1,-1,-1
7,-1,244,185,147,91,-1,1,-1,-1
8,-1,0,0,118,79,-1,1,-1,-1
8,-1,112,270,67,50,-1,1,-1,-1
8,-1,1,205,79,100,-1,1,-1,-1
8,-1,244,185,147,91,-1,1,-1,-1
9,-1,0,0,118,79,-1,1,-1,-1
9,-1,112,270,67,50,-1,1,-1,-1
9,-1,1,205,79,100,-1,1,-1,-1
9,-1,244,185,147,91,-1,1,-1,-1
10,-1,0,0,118,79,-1,1,-1,-1
10,-1,112,270,67,50,-1,1,-1,-1
10,-1,1,205,80,100,-1,1,-1,-1
10,-1,244,185,147,91,-1,1,-1,-1
11,-1,0,0,118,79,-1,1,-1,-1
11,-1,112,270,67,50,-1,1,-1,-1
11,-1,1,205,80,101,-1,1,-1,-1
11,-1,244,185,147,91,-1,1,-1,-1
11,-1,264,86,56,96,-1,1,-1,-1
12,-1,0,0,118,79,-1,1,-1,-1
12,-1,112,270,67,50,-1,1,-1,-1
12,-1,1,205,80,101,-1,1,-1,-1
12,-1,244,185,147,91,-1,1,-1,-1
12,-1,264,86,56,96,-1,1,-1,-1
12,-1,321,108,76,89,-1,1,-1,-1
13,-1,0,0,118,79,-1,1,-1,-1
13,-1,112,270,68,50,-1,1,-1,-1
13,-1,1,205,80,101,-1,1,-1,-1
13,-1,244,185,147,91,-1,1,-1,-1
13,-1,264,86,56,96,-1,1,-1,-1
13,-1,321,108,76,89,-1,1,-1,-1
13,-1,172,113,121,142,-1,1,-1,-1
14,-1,0,0,118,79,-1,1,-1,-1
14,-1,112,270,68,50,-1,1,-1,-1
14,-1,1,205,80,101,-1,1,-1,-1
14,-1,244,186,147,91,-1,1,-1,-1
14,-1,264,86,56,96,-1,1,-1,-1
